Unnamed: 0,AUS/US,EU/US,NZD/US,UK/US,BRZ/US,CND/US,CHN/US,HNGK/US,INDIA/US,KOR/US,MEX/US,AFR/US,SNG/US,DNM/US,JPN/US,MLY/US,NOR/US,SWD/US,SRLNK/US,SWTZ/US,TIWN/US,THAI/US,UK_pct,UK_CDF,AUS_pct,AUS_CDF
4602,1.2669,0.8473,1.3873,0.782,3.1521,1.2558,6.6569,7.8259,64.04,1128.59,17.707,13.2075,1.3619,6.3019,109.14,4.278,7.8776,8.0753,152.9,0.9667,30.26,33.34,0.35934291581110056,32.21579895614984,0.25322465775103886,-2.6446145691094043
4603,1.265,0.8474,1.386,0.7811,3.1428,1.2528,6.66,7.8239,64.04,1127.8,17.705,13.2,1.3613,6.3018,109.34,4.278,7.8415,8.0584,152.9,0.9646,30.24,33.34,-0.11508951406650203,32.100709442083335,-0.14997237351014325,-2.7945869426195475
4604,1.2612,0.8422,1.3827,0.7768,3.1463,1.2494,6.6465,7.8215,64.0,1121.73,17.614,13.0325,1.3558,6.2655,109.24,4.2715,7.7775,7.9963,152.9,0.9574,30.09,33.25,-0.5505056970938393,31.550203744989496,-0.30039525691698543,-3.094982199536533
4605,1.2569,0.8352,1.3795,0.7736,3.1577,1.2492,6.6084,7.8229,63.9,1117.75,17.825,13.0425,1.3546,6.213,109.22,4.266,7.7583,7.9591,152.9,0.9554,30.13,33.18,-0.4119464469619083,31.138257298027586,-0.34094513162069573,-3.4359273311572287
4606,1.2542,0.8316,1.3753,0.773,3.1656,1.2517,6.5945,7.8244,64.02,1122.5,17.871,12.945,1.352,6.1863,109.02,4.2655,7.7233,7.9132,152.8,0.948,30.07,33.17,-0.07755946225438404,31.0606978357732,-0.21481422547536821,-3.650741556632597
4607,1.265,0.8384,1.387,0.7732,3.1592,1.2608,6.5918,7.8254,63.98,1122.05,17.7441,12.98,1.3562,6.2378,110.2,4.269,7.7834,7.9635,152.75,0.9583,30.13,33.18,0.02587322121603286,31.086571056989236,0.8611066815499946,-2.7896348750826023
4608,1.2607,0.8408,1.3947,0.7759,3.1454,1.2515,6.5888,7.8267,63.93,1122.36,17.7875,12.9925,1.3565,6.253,110.06,4.269,7.7723,7.955,152.7,0.961,30.13,33.17,0.3491981376099407,31.435769194599175,-0.33992094861660105,-3.1295558236992034
4609,1.2531,0.8419,1.3953,0.7709,3.1308,1.2372,6.5552,7.8241,64.02,1119.12,17.7835,12.925,1.3565,6.2609,110.09,4.269,7.7916,7.9911,152.7,0.9626,30.06,33.15,-0.6444129398118337,30.791356254787342,-0.6028396922344581,-3.7323955159336615
4611,1.2484,0.8396,1.3789,0.7685,3.123,1.2355,6.5345,7.8253,64.12,1130.01,17.8325,12.895,1.3524,6.2453,108.94,4.2585,7.7775,7.964,152.35,0.9577,30.05,33.15,-0.31132442599559607,30.480031828791745,-0.3750698268294772,-4.107465342763138
4612,1.2475,0.8373,1.3847,0.7649,3.1085,1.221,6.5221,7.8256,64.06,1132.49,17.798,12.7625,1.3492,6.2287,108.75,4.237,7.7713,7.9506,152.6,0.9537,30.08,33.14,-0.46844502277162414,30.01158680602012,-0.07209227811597607,-4.179557620879114
4613,1.2441,0.8314,1.382,0.7637,3.099,1.2132,6.483,7.8138,64.01,1125.49,17.704,12.855,1.3403,6.1861,108.26,4.208,7.7479,7.9435,152.6,0.9498,29.93,33.07,-0.15688325271276948,29.85470355330735,-0.272545090180365,-4.45210271105948
4614,1.239,0.8305,1.3738,0.7569,3.0942,1.2131,6.4773,7.8112,63.78,1133.08,17.7245,12.92,1.3391,6.1788,107.72,4.192,7.7414,7.9361,152.7,0.9456,30.05,33.11,-0.89040199031033,28.96430156299702,-0.4099348926935087,-4.862037603752988
4615,1.2463,0.8358,1.3793,0.7591,3.089,1.2136,6.5254,7.8113,63.93,1129.75,17.647,12.9525,1.3455,6.2179,109.03,4.195,7.8436,8.0063,152.75,0.9533,30.01,33.11,0.29065926806710607,29.254960831064125,0.5891848264729438,-4.272852777280044
4616,1.2435,0.8356,1.3704,0.753,3.1093,1.2154,6.5334,7.8106,64.03,1126.56,17.751,12.9975,1.3468,6.2158,110.01,4.206,7.8267,7.9619,152.8,0.9596,30.04,33.11,-0.8035831906204716,28.451377640443653,-0.2246650084249291,-4.497517785704973
4617,1.252,0.8405,1.3824,0.7565,3.1372,1.2192,6.54,7.8123,64.0,1129.37,17.7865,13.155,1.3494,6.2524,110.58,4.19,7.8898,8.0295,152.95,0.9639,30.05,33.12,0.4648074369189903,28.91618507736264,0.6835544833132312,-3.813963302391742
4618,1.2531,0.8413,1.3872,0.7464,3.129,1.2207,6.552,7.812,64.12,1132.59,17.722,13.16,1.3495,6.2596,110.66,4.204,7.8986,8.0116,152.85,0.966,30.1,33.07,-1.3350958360872411,27.5810892412754,0.08785942492013366,-3.7261038774716084
